"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","NCTC10317_2","NCTC11359_2","NCTC11698_2","NCTC13635_2","NCTC418_2","NCTC9157_2","NCTC9171_2","NCTC9667_2","NCTC9793_2","NFYY0065_2"
"soxS","","superoxide response transcriptional regulator SoxS","9","9","1","1","1376","","","","329","329","329","8777fb3be99985d899573c6a12a3dd51_9483","82cb54a66be23676d92c45561410fc22_9311","71b4f8e38d314b58d2a15397a624f579_9695","","d90f2a772ef9bba7f6f75c33978b075a_10330","53c9d146af329787812b2e1790bf32a4_9738","437f59dc9dcfa09ce2d50a324ebaf4a8_9523","d00c3ca4aa2df69f978eefbbe3fb03e7_8545","1304c761f7edd07127d4c6b6f249f721_7304","f8019d7ff0b2507577fd8d830299c3cc_9719"
"WP_004177824.1","","EAL domain-containing protein","9","9","1","1","1377","","","","1604","1604","1604","8777fb3be99985d899573c6a12a3dd51_9485","82cb54a66be23676d92c45561410fc22_9313","71b4f8e38d314b58d2a15397a624f579_9697","","d90f2a772ef9bba7f6f75c33978b075a_10332","53c9d146af329787812b2e1790bf32a4_9740","437f59dc9dcfa09ce2d50a324ebaf4a8_9525","d00c3ca4aa2df69f978eefbbe3fb03e7_8543","1304c761f7edd07127d4c6b6f249f721_7306","f8019d7ff0b2507577fd8d830299c3cc_9717"
"WP_004177826.1","","YjcB family protein","9","9","1","1","1378","","","","281","281","281","8777fb3be99985d899573c6a12a3dd51_9489","82cb54a66be23676d92c45561410fc22_9315","71b4f8e38d314b58d2a15397a624f579_9699","","d90f2a772ef9bba7f6f75c33978b075a_10334","53c9d146af329787812b2e1790bf32a4_9742","437f59dc9dcfa09ce2d50a324ebaf4a8_9529","d00c3ca4aa2df69f978eefbbe3fb03e7_8539","1304c761f7edd07127d4c6b6f249f721_7308","f8019d7ff0b2507577fd8d830299c3cc_9715"
"WP_004186517.1","","ABC transporter permease subunit","9","9","1","1","1379","","","","857","857","857","8777fb3be99985d899573c6a12a3dd51_9491","82cb54a66be23676d92c45561410fc22_9317","71b4f8e38d314b58d2a15397a624f579_9701","","d90f2a772ef9bba7f6f75c33978b075a_10336","53c9d146af329787812b2e1790bf32a4_9744","437f59dc9dcfa09ce2d50a324ebaf4a8_9531","d00c3ca4aa2df69f978eefbbe3fb03e7_8537","1304c761f7edd07127d4c6b6f249f721_7310","f8019d7ff0b2507577fd8d830299c3cc_9713"
"iraM","","anti-adapter protein IraM","9","9","1","1","1386","","","","353","353","353","8777fb3be99985d899573c6a12a3dd51_9505","82cb54a66be23676d92c45561410fc22_9331","71b4f8e38d314b58d2a15397a624f579_9715","","d90f2a772ef9bba7f6f75c33978b075a_10350","53c9d146af329787812b2e1790bf32a4_9758","437f59dc9dcfa09ce2d50a324ebaf4a8_9545","d00c3ca4aa2df69f978eefbbe3fb03e7_8523","1304c761f7edd07127d4c6b6f249f721_7324","f8019d7ff0b2507577fd8d830299c3cc_9699"
"WP_004177843.1","","tannase/feruloyl esterase family alpha/beta hydrolase","9","9","1","1","1391","","","","1760","1760","1760","8777fb3be99985d899573c6a12a3dd51_9513","82cb54a66be23676d92c45561410fc22_9337","71b4f8e38d314b58d2a15397a624f579_9723","","d90f2a772ef9bba7f6f75c33978b075a_10356","53c9d146af329787812b2e1790bf32a4_9766","437f59dc9dcfa09ce2d50a324ebaf4a8_9553","d00c3ca4aa2df69f978eefbbe3fb03e7_8515","1304c761f7edd07127d4c6b6f249f721_7330","f8019d7ff0b2507577fd8d830299c3cc_9691"
"WP_004177844.1","","helix-turn-helix transcriptional regulator","9","9","1","1","1392","","","","368","368","368","8777fb3be99985d899573c6a12a3dd51_9515","82cb54a66be23676d92c45561410fc22_9339","71b4f8e38d314b58d2a15397a624f579_9725","","d90f2a772ef9bba7f6f75c33978b075a_10358","53c9d146af329787812b2e1790bf32a4_9768","437f59dc9dcfa09ce2d50a324ebaf4a8_9555","d00c3ca4aa2df69f978eefbbe3fb03e7_8513","1304c761f7edd07127d4c6b6f249f721_7332","f8019d7ff0b2507577fd8d830299c3cc_9689"
"WP_002884953.1","","MmcQ/YjbR family DNA-binding protein","9","9","1","1","5377","","","","356","356","356","8777fb3be99985d899573c6a12a3dd51_9525","82cb54a66be23676d92c45561410fc22_9349","71b4f8e38d314b58d2a15397a624f579_9779","cf72a3ad6e3d2448b8ff3941fa28861f_6192","d90f2a772ef9bba7f6f75c33978b075a_10368","53c9d146af329787812b2e1790bf32a4_9780","","d00c3ca4aa2df69f978eefbbe3fb03e7_8503","1304c761f7edd07127d4c6b6f249f721_7342","f8019d7ff0b2507577fd8d830299c3cc_9677"
"group_3881","aphA","acid phosphatase AphA","9","9","1","1","5374","","","","713","713","713","8777fb3be99985d899573c6a12a3dd51_9529","82cb54a66be23676d92c45561410fc22_9353","71b4f8e38d314b58d2a15397a624f579_9783","","d90f2a772ef9bba7f6f75c33978b075a_10372","53c9d146af329787812b2e1790bf32a4_9784","437f59dc9dcfa09ce2d50a324ebaf4a8_9569","d00c3ca4aa2df69f978eefbbe3fb03e7_8499","1304c761f7edd07127d4c6b6f249f721_7346","f8019d7ff0b2507577fd8d830299c3cc_9673"
"alr","","alanine racemase","9","9","1","1","5372","","","","1079","1079","1079","8777fb3be99985d899573c6a12a3dd51_9533","82cb54a66be23676d92c45561410fc22_9357","71b4f8e38d314b58d2a15397a624f579_9787","","d90f2a772ef9bba7f6f75c33978b075a_10376","53c9d146af329787812b2e1790bf32a4_9788","437f59dc9dcfa09ce2d50a324ebaf4a8_9573","d00c3ca4aa2df69f978eefbbe3fb03e7_8495","1304c761f7edd07127d4c6b6f249f721_7350","f8019d7ff0b2507577fd8d830299c3cc_9669"
"zur","","zinc uptake transcriptional repressor Zur","9","9","1","1","5366","","","","515","515","515","8777fb3be99985d899573c6a12a3dd51_9545","82cb54a66be23676d92c45561410fc22_9369","71b4f8e38d314b58d2a15397a624f579_9799","","d90f2a772ef9bba7f6f75c33978b075a_10388","53c9d146af329787812b2e1790bf32a4_9800","437f59dc9dcfa09ce2d50a324ebaf4a8_9585","d00c3ca4aa2df69f978eefbbe3fb03e7_8483","1304c761f7edd07127d4c6b6f249f721_7362","f8019d7ff0b2507577fd8d830299c3cc_9657"
"dinF","","MATE family efflux transporter DinF","9","9","1","1","5362","","","","1316","1316","1316","8777fb3be99985d899573c6a12a3dd51_9549","82cb54a66be23676d92c45561410fc22_9375","71b4f8e38d314b58d2a15397a624f579_9805","","d90f2a772ef9bba7f6f75c33978b075a_10394","53c9d146af329787812b2e1790bf32a4_9806","437f59dc9dcfa09ce2d50a324ebaf4a8_9589","d00c3ca4aa2df69f978eefbbe3fb03e7_8479","1304c761f7edd07127d4c6b6f249f721_7368","f8019d7ff0b2507577fd8d830299c3cc_9651"
"lexA","","repressor LexA","9","9","1","1","5363","","","","608","608","608","8777fb3be99985d899573c6a12a3dd51_9551","82cb54a66be23676d92c45561410fc22_9377","71b4f8e38d314b58d2a15397a624f579_9807","","d90f2a772ef9bba7f6f75c33978b075a_10396","53c9d146af329787812b2e1790bf32a4_9808","437f59dc9dcfa09ce2d50a324ebaf4a8_9591","d00c3ca4aa2df69f978eefbbe3fb03e7_8477","1304c761f7edd07127d4c6b6f249f721_7370","f8019d7ff0b2507577fd8d830299c3cc_9649"
"malM","","maltose operon protein MalM","9","9","1","1","5357","","","","923","923","923","8777fb3be99985d899573c6a12a3dd51_9561","82cb54a66be23676d92c45561410fc22_9387","71b4f8e38d314b58d2a15397a624f579_9817","","d90f2a772ef9bba7f6f75c33978b075a_10406","53c9d146af329787812b2e1790bf32a4_9818","437f59dc9dcfa09ce2d50a324ebaf4a8_9601","d00c3ca4aa2df69f978eefbbe3fb03e7_8467","1304c761f7edd07127d4c6b6f249f721_7380","f8019d7ff0b2507577fd8d830299c3cc_9639"
"WP_002884747.1","","maltoporin","9","9","1","1","5356","","","","1289","1289","1289","8777fb3be99985d899573c6a12a3dd51_9563","82cb54a66be23676d92c45561410fc22_9389","71b4f8e38d314b58d2a15397a624f579_9819","","d90f2a772ef9bba7f6f75c33978b075a_10408","53c9d146af329787812b2e1790bf32a4_9820","437f59dc9dcfa09ce2d50a324ebaf4a8_9603","d00c3ca4aa2df69f978eefbbe3fb03e7_8465","1304c761f7edd07127d4c6b6f249f721_7382","f8019d7ff0b2507577fd8d830299c3cc_9637"
"malF","","maltose ABC transporter permease MalF","9","9","1","1","5352","","","","1544","1544","1544","8777fb3be99985d899573c6a12a3dd51_9569","82cb54a66be23676d92c45561410fc22_9395","71b4f8e38d314b58d2a15397a624f579_9825","","d90f2a772ef9bba7f6f75c33978b075a_10414","53c9d146af329787812b2e1790bf32a4_9826","437f59dc9dcfa09ce2d50a324ebaf4a8_9609","d00c3ca4aa2df69f978eefbbe3fb03e7_8459","1304c761f7edd07127d4c6b6f249f721_7388","f8019d7ff0b2507577fd8d830299c3cc_9631"
"WP_004177854.1","","AzlC family ABC transporter permease","9","9","1","1","5348","","","","740","740","740","8777fb3be99985d899573c6a12a3dd51_9577","82cb54a66be23676d92c45561410fc22_9405","71b4f8e38d314b58d2a15397a624f579_9833","cf72a3ad6e3d2448b8ff3941fa28861f_6138","d90f2a772ef9bba7f6f75c33978b075a_10422","53c9d146af329787812b2e1790bf32a4_9834","437f59dc9dcfa09ce2d50a324ebaf4a8_9617","","1304c761f7edd07127d4c6b6f249f721_7396","f8019d7ff0b2507577fd8d830299c3cc_9623"
"WP_004177856.1","","GNAT family N-acetyltransferase","9","9","1","1","5345","","","","509","509","509","8777fb3be99985d899573c6a12a3dd51_9583","82cb54a66be23676d92c45561410fc22_9411","71b4f8e38d314b58d2a15397a624f579_9839","","d90f2a772ef9bba7f6f75c33978b075a_10428","53c9d146af329787812b2e1790bf32a4_9840","437f59dc9dcfa09ce2d50a324ebaf4a8_9623","d00c3ca4aa2df69f978eefbbe3fb03e7_8445","1304c761f7edd07127d4c6b6f249f721_7402","f8019d7ff0b2507577fd8d830299c3cc_9617"
"iclR","","glyoxylate bypass operon transcriptional repressor IclR","9","9","1","1","5326","","","","830","830","830","8777fb3be99985d899573c6a12a3dd51_9617","82cb54a66be23676d92c45561410fc22_9445","71b4f8e38d314b58d2a15397a624f579_9859","","d90f2a772ef9bba7f6f75c33978b075a_10462","53c9d146af329787812b2e1790bf32a4_9860","437f59dc9dcfa09ce2d50a324ebaf4a8_9651","d00c3ca4aa2df69f978eefbbe3fb03e7_8411","1304c761f7edd07127d4c6b6f249f721_7436","f8019d7ff0b2507577fd8d830299c3cc_9597"
"aceB","","malate synthase A","9","9","1","1","2576","","","","1601","1601","1601","8777fb3be99985d899573c6a12a3dd51_9623","82cb54a66be23676d92c45561410fc22_9451","71b4f8e38d314b58d2a15397a624f579_9865","","d90f2a772ef9bba7f6f75c33978b075a_10468","53c9d146af329787812b2e1790bf32a4_9866","437f59dc9dcfa09ce2d50a324ebaf4a8_9657","d00c3ca4aa2df69f978eefbbe3fb03e7_8405","1304c761f7edd07127d4c6b6f249f721_7442","f8019d7ff0b2507577fd8d830299c3cc_9591"
"purH","","bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase","9","9","1","1","3062","","","","1589","1589","1589","8777fb3be99985d899573c6a12a3dd51_9643","82cb54a66be23676d92c45561410fc22_9469","71b4f8e38d314b58d2a15397a624f579_9883","","d90f2a772ef9bba7f6f75c33978b075a_10486","53c9d146af329787812b2e1790bf32a4_9884","437f59dc9dcfa09ce2d50a324ebaf4a8_9677","d00c3ca4aa2df69f978eefbbe3fb03e7_8385","1304c761f7edd07127d4c6b6f249f721_7460","f8019d7ff0b2507577fd8d830299c3cc_9573"
"zraS","","two-component system sensor histidine kinase ZraS","9","9","1","1","3061","","","","1394","1394","1394","8777fb3be99985d899573c6a12a3dd51_9649","82cb54a66be23676d92c45561410fc22_9475","71b4f8e38d314b58d2a15397a624f579_9889","","d90f2a772ef9bba7f6f75c33978b075a_10492","53c9d146af329787812b2e1790bf32a4_9890","437f59dc9dcfa09ce2d50a324ebaf4a8_9683","d00c3ca4aa2df69f978eefbbe3fb03e7_8379","1304c761f7edd07127d4c6b6f249f721_7466","f8019d7ff0b2507577fd8d830299c3cc_9567"
"hupA","","DNA-binding protein HU-alpha","9","9","1","1","3058","","","","272","272","272","8777fb3be99985d899573c6a12a3dd51_9655","82cb54a66be23676d92c45561410fc22_9481","71b4f8e38d314b58d2a15397a624f579_9895","cf72a3ad6e3d2448b8ff3941fa28861f_4581","d90f2a772ef9bba7f6f75c33978b075a_10498","53c9d146af329787812b2e1790bf32a4_9896","","d00c3ca4aa2df69f978eefbbe3fb03e7_8373","1304c761f7edd07127d4c6b6f249f721_7472","f8019d7ff0b2507577fd8d830299c3cc_9561"
"WP_002884331.1","","YjaG family protein","9","9","1","1","3057","","","","590","590","590","8777fb3be99985d899573c6a12a3dd51_9657","82cb54a66be23676d92c45561410fc22_9483","71b4f8e38d314b58d2a15397a624f579_9897","","d90f2a772ef9bba7f6f75c33978b075a_10500","53c9d146af329787812b2e1790bf32a4_9898","437f59dc9dcfa09ce2d50a324ebaf4a8_9691","d00c3ca4aa2df69f978eefbbe3fb03e7_8371","1304c761f7edd07127d4c6b6f249f721_7474","f8019d7ff0b2507577fd8d830299c3cc_9559"
"nfi","","deoxyribonuclease V","9","9","1","1","3056","","","","671","671","671","8777fb3be99985d899573c6a12a3dd51_9659","82cb54a66be23676d92c45561410fc22_9485","71b4f8e38d314b58d2a15397a624f579_9899","cf72a3ad6e3d2448b8ff3941fa28861f_4585","d90f2a772ef9bba7f6f75c33978b075a_10502","53c9d146af329787812b2e1790bf32a4_9900","437f59dc9dcfa09ce2d50a324ebaf4a8_9693","","1304c761f7edd07127d4c6b6f249f721_7476","f8019d7ff0b2507577fd8d830299c3cc_9557"
"hemE","","uroporphyrinogen decarboxylase","9","9","1","1","2581","","","","1064","1064","1064","8777fb3be99985d899573c6a12a3dd51_9661","82cb54a66be23676d92c45561410fc22_9487","71b4f8e38d314b58d2a15397a624f579_9901","","d90f2a772ef9bba7f6f75c33978b075a_10504","53c9d146af329787812b2e1790bf32a4_9902","437f59dc9dcfa09ce2d50a324ebaf4a8_9695","d00c3ca4aa2df69f978eefbbe3fb03e7_8367","1304c761f7edd07127d4c6b6f249f721_7478","f8019d7ff0b2507577fd8d830299c3cc_9555"
"nudC","","NAD(+) diphosphatase","9","9","1","1","2582","","","","773","773","773","8777fb3be99985d899573c6a12a3dd51_9663","82cb54a66be23676d92c45561410fc22_9489","71b4f8e38d314b58d2a15397a624f579_9903","","d90f2a772ef9bba7f6f75c33978b075a_10506","53c9d146af329787812b2e1790bf32a4_9904","437f59dc9dcfa09ce2d50a324ebaf4a8_9697","d00c3ca4aa2df69f978eefbbe3fb03e7_8365","1304c761f7edd07127d4c6b6f249f721_7480","f8019d7ff0b2507577fd8d830299c3cc_9553"
"thiF","","thiazole biosynthesis adenylyltransferase ThiF","9","9","1","1","3052","","","","755","755","755","8777fb3be99985d899573c6a12a3dd51_9672","82cb54a66be23676d92c45561410fc22_9498","71b4f8e38d314b58d2a15397a624f579_9912","cf72a3ad6e3d2448b8ff3941fa28861f_4598","d90f2a772ef9bba7f6f75c33978b075a_10515","53c9d146af329787812b2e1790bf32a4_9913","437f59dc9dcfa09ce2d50a324ebaf4a8_9706","","1304c761f7edd07127d4c6b6f249f721_7489","f8019d7ff0b2507577fd8d830299c3cc_9544"
"thiH","","2-iminoacetate synthase ThiH","9","9","1","1","3047","","","","1133","1133","1133","8777fb3be99985d899573c6a12a3dd51_9678","82cb54a66be23676d92c45561410fc22_9504","71b4f8e38d314b58d2a15397a624f579_9918","cf72a3ad6e3d2448b8ff3941fa28861f_4604","d90f2a772ef9bba7f6f75c33978b075a_10521","53c9d146af329787812b2e1790bf32a4_9919","437f59dc9dcfa09ce2d50a324ebaf4a8_9712","","1304c761f7edd07127d4c6b6f249f721_7495","f8019d7ff0b2507577fd8d830299c3cc_9538"
"WP_004178221.1","","sensor domain-containing diguanylate cyclase","9","9","1","1","3049","","","","1532","1532","1532","8777fb3be99985d899573c6a12a3dd51_9680","82cb54a66be23676d92c45561410fc22_9506","71b4f8e38d314b58d2a15397a624f579_9920","","d90f2a772ef9bba7f6f75c33978b075a_10523","53c9d146af329787812b2e1790bf32a4_9921","437f59dc9dcfa09ce2d50a324ebaf4a8_9714","d00c3ca4aa2df69f978eefbbe3fb03e7_8348","1304c761f7edd07127d4c6b6f249f721_7497","f8019d7ff0b2507577fd8d830299c3cc_9536"
"dcuB","","anaerobic C4-dicarboxylate transporter DcuB","9","9","1","1","3045","","","","1340","1340","1340","8777fb3be99985d899573c6a12a3dd51_9686","82cb54a66be23676d92c45561410fc22_9512","71b4f8e38d314b58d2a15397a624f579_9926","cf72a3ad6e3d2448b8ff3941fa28861f_4612","d90f2a772ef9bba7f6f75c33978b075a_10529","53c9d146af329787812b2e1790bf32a4_9927","","d00c3ca4aa2df69f978eefbbe3fb03e7_8342","1304c761f7edd07127d4c6b6f249f721_7503","f8019d7ff0b2507577fd8d830299c3cc_9530"
"secE","","preprotein translocase subunit SecE","9","9","1","1","2584","","","","383","383","383","8777fb3be99985d899573c6a12a3dd51_9702","82cb54a66be23676d92c45561410fc22_9528","71b4f8e38d314b58d2a15397a624f579_9942","cf72a3ad6e3d2448b8ff3941fa28861f_4628","d90f2a772ef9bba7f6f75c33978b075a_10545","53c9d146af329787812b2e1790bf32a4_9943","437f59dc9dcfa09ce2d50a324ebaf4a8_9736","","1304c761f7edd07127d4c6b6f249f721_7519","f8019d7ff0b2507577fd8d830299c3cc_9514"
"coaA","","type I pantothenate kinase","9","9","1","1","3038","","","","950","950","950","8777fb3be99985d899573c6a12a3dd51_9718","82cb54a66be23676d92c45561410fc22_9544","71b4f8e38d314b58d2a15397a624f579_9958","cf72a3ad6e3d2448b8ff3941fa28861f_4646","d90f2a772ef9bba7f6f75c33978b075a_10561","53c9d146af329787812b2e1790bf32a4_9959","","d00c3ca4aa2df69f978eefbbe3fb03e7_8310","1304c761f7edd07127d4c6b6f249f721_7535","f8019d7ff0b2507577fd8d830299c3cc_9498"
"WP_002883449.1","","IMPACT family protein","9","9","1","1","2588","","","","614","614","614","8777fb3be99985d899573c6a12a3dd51_9743","82cb54a66be23676d92c45561410fc22_9569","71b4f8e38d314b58d2a15397a624f579_9983","cf72a3ad6e3d2448b8ff3941fa28861f_4672","d90f2a772ef9bba7f6f75c33978b075a_10586","53c9d146af329787812b2e1790bf32a4_9984","437f59dc9dcfa09ce2d50a324ebaf4a8_9777","","1304c761f7edd07127d4c6b6f249f721_7560","f8019d7ff0b2507577fd8d830299c3cc_9473"
"fadA","","acetyl-CoA C-acyltransferase FadA","9","9","1","1","3030","","","","1163","1163","1163","8777fb3be99985d899573c6a12a3dd51_9749","82cb54a66be23676d92c45561410fc22_9575","71b4f8e38d314b58d2a15397a624f579_9993","","d90f2a772ef9bba7f6f75c33978b075a_10592","53c9d146af329787812b2e1790bf32a4_9990","437f59dc9dcfa09ce2d50a324ebaf4a8_9783","d00c3ca4aa2df69f978eefbbe3fb03e7_8279","1304c761f7edd07127d4c6b6f249f721_7566","f8019d7ff0b2507577fd8d830299c3cc_9467"
"fre","","NAD(P)H-flavin reductase","9","9","1","1","3029","","","","701","701","701","8777fb3be99985d899573c6a12a3dd51_9751","82cb54a66be23676d92c45561410fc22_9577","71b4f8e38d314b58d2a15397a624f579_9995","","d90f2a772ef9bba7f6f75c33978b075a_10594","53c9d146af329787812b2e1790bf32a4_9992","437f59dc9dcfa09ce2d50a324ebaf4a8_9785","d00c3ca4aa2df69f978eefbbe3fb03e7_8277","1304c761f7edd07127d4c6b6f249f721_7568","f8019d7ff0b2507577fd8d830299c3cc_9465"
"ubiB","","ubiquinone biosynthesis regulatory protein kinase UbiB","9","9","1","1","3023","","","","1640","1640","1640","8777fb3be99985d899573c6a12a3dd51_9765","82cb54a66be23676d92c45561410fc22_9591","71b4f8e38d314b58d2a15397a624f579_10013","cf72a3ad6e3d2448b8ff3941fa28861f_4696","","53c9d146af329787812b2e1790bf32a4_10008","437f59dc9dcfa09ce2d50a324ebaf4a8_9799","d00c3ca4aa2df69f978eefbbe3fb03e7_8263","1304c761f7edd07127d4c6b6f249f721_7582","f8019d7ff0b2507577fd8d830299c3cc_9449"
"rmuC","","DNA recombination protein RmuC","9","9","1","1","3020","","","","1448","1448","1448","8777fb3be99985d899573c6a12a3dd51_9771","82cb54a66be23676d92c45561410fc22_9597","71b4f8e38d314b58d2a15397a624f579_10019","","d90f2a772ef9bba7f6f75c33978b075a_10614","53c9d146af329787812b2e1790bf32a4_10014","437f59dc9dcfa09ce2d50a324ebaf4a8_9805","d00c3ca4aa2df69f978eefbbe3fb03e7_8257","1304c761f7edd07127d4c6b6f249f721_7588","f8019d7ff0b2507577fd8d830299c3cc_9443"
"WP_002883414.1","","DMT family transporter","9","9","1","1","3015","","","","884","899","897","8777fb3be99985d899573c6a12a3dd51_9781","82cb54a66be23676d92c45561410fc22_9607","71b4f8e38d314b58d2a15397a624f579_10029","","d90f2a772ef9bba7f6f75c33978b075a_10624","53c9d146af329787812b2e1790bf32a4_10024","437f59dc9dcfa09ce2d50a324ebaf4a8_9827","d00c3ca4aa2df69f978eefbbe3fb03e7_8247","1304c761f7edd07127d4c6b6f249f721_7598","f8019d7ff0b2507577fd8d830299c3cc_9421"
"pldB","","lysophospholipase L2","9","9","1","1","3013","","","","992","992","992","8777fb3be99985d899573c6a12a3dd51_9785","82cb54a66be23676d92c45561410fc22_9611","71b4f8e38d314b58d2a15397a624f579_10033","cf72a3ad6e3d2448b8ff3941fa28861f_4716","d90f2a772ef9bba7f6f75c33978b075a_10628","53c9d146af329787812b2e1790bf32a4_10028","","d00c3ca4aa2df69f978eefbbe3fb03e7_8243","1304c761f7edd07127d4c6b6f249f721_7602","f8019d7ff0b2507577fd8d830299c3cc_9417"
"recQ","","ATP-dependent DNA helicase RecQ","9","9","1","1","3009","","","","1826","1826","1826","8777fb3be99985d899573c6a12a3dd51_9793","82cb54a66be23676d92c45561410fc22_9619","71b4f8e38d314b58d2a15397a624f579_10041","cf72a3ad6e3d2448b8ff3941fa28861f_4724","d90f2a772ef9bba7f6f75c33978b075a_10636","53c9d146af329787812b2e1790bf32a4_10036","","d00c3ca4aa2df69f978eefbbe3fb03e7_8235","1304c761f7edd07127d4c6b6f249f721_7610","f8019d7ff0b2507577fd8d830299c3cc_9409"
"WP_002883404.1","","thioesterase family protein","9","9","1","1","3007","","","","464","464","464","8777fb3be99985d899573c6a12a3dd51_9797","82cb54a66be23676d92c45561410fc22_9623","71b4f8e38d314b58d2a15397a624f579_10045","","d90f2a772ef9bba7f6f75c33978b075a_10640","53c9d146af329787812b2e1790bf32a4_10040","437f59dc9dcfa09ce2d50a324ebaf4a8_9843","d00c3ca4aa2df69f978eefbbe3fb03e7_8231","1304c761f7edd07127d4c6b6f249f721_7614","f8019d7ff0b2507577fd8d830299c3cc_9405"
"rarD","","EamA family transporter RarD","9","9","1","1","3006","","","","893","893","893","8777fb3be99985d899573c6a12a3dd51_9799","82cb54a66be23676d92c45561410fc22_9625","71b4f8e38d314b58d2a15397a624f579_10047","cf72a3ad6e3d2448b8ff3941fa28861f_4730","d90f2a772ef9bba7f6f75c33978b075a_10642","53c9d146af329787812b2e1790bf32a4_10042","","d00c3ca4aa2df69f978eefbbe3fb03e7_8229","1304c761f7edd07127d4c6b6f249f721_7616","f8019d7ff0b2507577fd8d830299c3cc_9403"
"yigB","","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB","9","9","1","1","3003","","","","716","716","716","8777fb3be99985d899573c6a12a3dd51_9805","82cb54a66be23676d92c45561410fc22_9631","71b4f8e38d314b58d2a15397a624f579_10053","","d90f2a772ef9bba7f6f75c33978b075a_10648","53c9d146af329787812b2e1790bf32a4_10048","437f59dc9dcfa09ce2d50a324ebaf4a8_9851","d00c3ca4aa2df69f978eefbbe3fb03e7_8223","1304c761f7edd07127d4c6b6f249f721_7622","f8019d7ff0b2507577fd8d830299c3cc_9397"
"xerC","","tyrosine recombinase XerC","9","9","1","1","3002","","","","902","902","902","8777fb3be99985d899573c6a12a3dd51_9807","82cb54a66be23676d92c45561410fc22_9633","71b4f8e38d314b58d2a15397a624f579_10055","","d90f2a772ef9bba7f6f75c33978b075a_10650","53c9d146af329787812b2e1790bf32a4_10050","437f59dc9dcfa09ce2d50a324ebaf4a8_9853","d00c3ca4aa2df69f978eefbbe3fb03e7_8221","1304c761f7edd07127d4c6b6f249f721_7624","f8019d7ff0b2507577fd8d830299c3cc_9395"
"dapF","","diaminopimelate epimerase","9","9","1","1","3001","","","","824","824","824","8777fb3be99985d899573c6a12a3dd51_9811","82cb54a66be23676d92c45561410fc22_9637","71b4f8e38d314b58d2a15397a624f579_10059","","d90f2a772ef9bba7f6f75c33978b075a_10654","53c9d146af329787812b2e1790bf32a4_10054","437f59dc9dcfa09ce2d50a324ebaf4a8_9857","d00c3ca4aa2df69f978eefbbe3fb03e7_8217","1304c761f7edd07127d4c6b6f249f721_7628","f8019d7ff0b2507577fd8d830299c3cc_9391"
"cyaA","","class I adenylate cyclase","9","9","1","1","2997","","","","2552","2552","2552","8777fb3be99985d899573c6a12a3dd51_9817","82cb54a66be23676d92c45561410fc22_9643","71b4f8e38d314b58d2a15397a624f579_10065","","d90f2a772ef9bba7f6f75c33978b075a_10660","53c9d146af329787812b2e1790bf32a4_10060","437f59dc9dcfa09ce2d50a324ebaf4a8_9863","d00c3ca4aa2df69f978eefbbe3fb03e7_8211","1304c761f7edd07127d4c6b6f249f721_7634","f8019d7ff0b2507577fd8d830299c3cc_9385"
"WP_002883322.1","","amino acid permease","9","9","1","1","2992","","","","1385","1385","1385","8777fb3be99985d899573c6a12a3dd51_9839","82cb54a66be23676d92c45561410fc22_9665","71b4f8e38d314b58d2a15397a624f579_10089","cf72a3ad6e3d2448b8ff3941fa28861f_4772","d90f2a772ef9bba7f6f75c33978b075a_10682","53c9d146af329787812b2e1790bf32a4_10084","","d00c3ca4aa2df69f978eefbbe3fb03e7_8189","1304c761f7edd07127d4c6b6f249f721_7656","f8019d7ff0b2507577fd8d830299c3cc_9361"
"rffM","","lipopolysaccharide N-acetylmannosaminouronosyltransferase","9","9","1","1","2990","","","","740","740","740","8777fb3be99985d899573c6a12a3dd51_9841","82cb54a66be23676d92c45561410fc22_9667","71b4f8e38d314b58d2a15397a624f579_10091","","d90f2a772ef9bba7f6f75c33978b075a_10684","53c9d146af329787812b2e1790bf32a4_10086","437f59dc9dcfa09ce2d50a324ebaf4a8_9887","d00c3ca4aa2df69f978eefbbe3fb03e7_8187","1304c761f7edd07127d4c6b6f249f721_7658","f8019d7ff0b2507577fd8d830299c3cc_9359"
"wzyE","","O-antigen assembly polymerase","9","9","1","1","2989","","","","1346","1346","1346","8777fb3be99985d899573c6a12a3dd51_9843","82cb54a66be23676d92c45561410fc22_9669","71b4f8e38d314b58d2a15397a624f579_10093","","d90f2a772ef9bba7f6f75c33978b075a_10686","53c9d146af329787812b2e1790bf32a4_10088","437f59dc9dcfa09ce2d50a324ebaf4a8_9889","d00c3ca4aa2df69f978eefbbe3fb03e7_8185","1304c761f7edd07127d4c6b6f249f721_7660","f8019d7ff0b2507577fd8d830299c3cc_9357"
