"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","NCTC10332_2","NCTC10728_2","NCTC11445_2","NCTC12903_2","NCTC13359_2","NCTC13618_2","NCTC13620_2","NCTC13715_2","PAO1_2","Pa58_2"
"WP_003119184.1","","HIT family protein","10","10","1","1","3803","","","","536","536","536","bff5be9a05af26abf8b302cd0b3f69e2_6343","f1bc4d4512a19bd29d7991c343d79c7a_319","f57ec7ca82cfc8a0008cea8c3cc6a6e4_5140","e1e193540533662714034fbaf73f5d6e_6925","fbf66bbada04254cb1d7db6bed85cec5_8267","8fa835bf467b60db460d3f086747dc57_6981","d1676fa9fd9af43d40bcc74e7f0aec45_7047","9a62a93745f59da1e1aa95775073ed22_10276","252ccf95a1f36013216e1b90c752981b_4082","71007f8b45df3e0a6853be2ecfd5b6f2_7776"
"motA","","flagellar motor stator protein MotA","10","10","1","1","1343","","","","851","851","851","bff5be9a05af26abf8b302cd0b3f69e2_10507","f1bc4d4512a19bd29d7991c343d79c7a_4367","f57ec7ca82cfc8a0008cea8c3cc6a6e4_11881","e1e193540533662714034fbaf73f5d6e_11656","fbf66bbada04254cb1d7db6bed85cec5_12694","8fa835bf467b60db460d3f086747dc57_11639","d1676fa9fd9af43d40bcc74e7f0aec45_11712","9a62a93745f59da1e1aa95775073ed22_2042","252ccf95a1f36013216e1b90c752981b_10713","71007f8b45df3e0a6853be2ecfd5b6f2_12493"
"truD","","tRNA pseudouridine(13) synthase TruD","10","10","1","1","2362","","","","1067","1067","1067","bff5be9a05af26abf8b302cd0b3f69e2_2701","f1bc4d4512a19bd29d7991c343d79c7a_8383","f57ec7ca82cfc8a0008cea8c3cc6a6e4_7632","e1e193540533662714034fbaf73f5d6e_2760","fbf66bbada04254cb1d7db6bed85cec5_3786","8fa835bf467b60db460d3f086747dc57_2842","d1676fa9fd9af43d40bcc74e7f0aec45_2935","9a62a93745f59da1e1aa95775073ed22_6178","252ccf95a1f36013216e1b90c752981b_7788","71007f8b45df3e0a6853be2ecfd5b6f2_2969"
"WP_003106526.1","","YajQ family cyclic di-GMP-binding protein","10","10","1","1","1577","","","","479","479","479","bff5be9a05af26abf8b302cd0b3f69e2_9287","f1bc4d4512a19bd29d7991c343d79c7a_3136","f57ec7ca82cfc8a0008cea8c3cc6a6e4_383","e1e193540533662714034fbaf73f5d6e_10164","fbf66bbada04254cb1d7db6bed85cec5_11156","8fa835bf467b60db460d3f086747dc57_10429","d1676fa9fd9af43d40bcc74e7f0aec45_10231","9a62a93745f59da1e1aa95775073ed22_732","252ccf95a1f36013216e1b90c752981b_9447","71007f8b45df3e0a6853be2ecfd5b6f2_10955"
"WP_003119819.1","","VWA domain-containing protein","10","10","1","1","10066","","","","644","644","644","bff5be9a05af26abf8b302cd0b3f69e2_4145","f1bc4d4512a19bd29d7991c343d79c7a_9781","f57ec7ca82cfc8a0008cea8c3cc6a6e4_6237","e1e193540533662714034fbaf73f5d6e_4155","fbf66bbada04254cb1d7db6bed85cec5_5296","8fa835bf467b60db460d3f086747dc57_4389","d1676fa9fd9af43d40bcc74e7f0aec45_4376","9a62a93745f59da1e1aa95775073ed22_7630","252ccf95a1f36013216e1b90c752981b_6275","71007f8b45df3e0a6853be2ecfd5b6f2_4632"
"WP_003113605.1","","MFS transporter","10","10","1","1","3693","","","","1169","1169","1169","bff5be9a05af26abf8b302cd0b3f69e2_6461","f1bc4d4512a19bd29d7991c343d79c7a_439","f57ec7ca82cfc8a0008cea8c3cc6a6e4_5258","e1e193540533662714034fbaf73f5d6e_7043","fbf66bbada04254cb1d7db6bed85cec5_8387","8fa835bf467b60db460d3f086747dc57_7101","d1676fa9fd9af43d40bcc74e7f0aec45_7167","9a62a93745f59da1e1aa95775073ed22_10500","252ccf95a1f36013216e1b90c752981b_3955","71007f8b45df3e0a6853be2ecfd5b6f2_7896"
"WP_003097723.1","","prepilin-type N-terminal cleavage/methylation domain-containing protein","10","10","1","1","8323","","","","410","410","410","bff5be9a05af26abf8b302cd0b3f69e2_4727","f1bc4d4512a19bd29d7991c343d79c7a_10398","f57ec7ca82cfc8a0008cea8c3cc6a6e4_5656","e1e193540533662714034fbaf73f5d6e_4730","fbf66bbada04254cb1d7db6bed85cec5_5911","8fa835bf467b60db460d3f086747dc57_5055","d1676fa9fd9af43d40bcc74e7f0aec45_5058","9a62a93745f59da1e1aa95775073ed22_8509","252ccf95a1f36013216e1b90c752981b_5692","71007f8b45df3e0a6853be2ecfd5b6f2_5419"
"WP_003105977.1","","phenylalanine 4-monooxygenase","10","10","1","1","7925","","","","788","788","788","bff5be9a05af26abf8b302cd0b3f69e2_8520","f1bc4d4512a19bd29d7991c343d79c7a_2487","f57ec7ca82cfc8a0008cea8c3cc6a6e4_1190","e1e193540533662714034fbaf73f5d6e_9143","fbf66bbada04254cb1d7db6bed85cec5_10472","8fa835bf467b60db460d3f086747dc57_9475","d1676fa9fd9af43d40bcc74e7f0aec45_9276","9a62a93745f59da1e1aa95775073ed22_12631","252ccf95a1f36013216e1b90c752981b_1845","71007f8b45df3e0a6853be2ecfd5b6f2_10205"
"cpdA","","3',5'-cyclic-AMP phosphodiesterase","10","10","1","1","1328","","","","818","818","818","bff5be9a05af26abf8b302cd0b3f69e2_10537","f1bc4d4512a19bd29d7991c343d79c7a_4337","f57ec7ca82cfc8a0008cea8c3cc6a6e4_11851","e1e193540533662714034fbaf73f5d6e_11686","fbf66bbada04254cb1d7db6bed85cec5_12726","8fa835bf467b60db460d3f086747dc57_11671","d1676fa9fd9af43d40bcc74e7f0aec45_11744","9a62a93745f59da1e1aa95775073ed22_2072","252ccf95a1f36013216e1b90c752981b_10743","71007f8b45df3e0a6853be2ecfd5b6f2_12523"
"WP_003123194.1","","SDR family oxidoreductase","10","10","1","1","4870","","","","917","917","917","bff5be9a05af26abf8b302cd0b3f69e2_8214","f1bc4d4512a19bd29d7991c343d79c7a_2165","f57ec7ca82cfc8a0008cea8c3cc6a6e4_1738","e1e193540533662714034fbaf73f5d6e_8837","fbf66bbada04254cb1d7db6bed85cec5_10154","8fa835bf467b60db460d3f086747dc57_8916","d1676fa9fd9af43d40bcc74e7f0aec45_8926","9a62a93745f59da1e1aa95775073ed22_12266","252ccf95a1f36013216e1b90c752981b_2180","71007f8b45df3e0a6853be2ecfd5b6f2_9893"
"WP_023096798.1","","hypothetical protein","10","10","1","1","3802","","","","1640","1640","1640","bff5be9a05af26abf8b302cd0b3f69e2_6341","f1bc4d4512a19bd29d7991c343d79c7a_317","f57ec7ca82cfc8a0008cea8c3cc6a6e4_5138","e1e193540533662714034fbaf73f5d6e_6923","fbf66bbada04254cb1d7db6bed85cec5_8265","8fa835bf467b60db460d3f086747dc57_6979","d1676fa9fd9af43d40bcc74e7f0aec45_7045","9a62a93745f59da1e1aa95775073ed22_10274","252ccf95a1f36013216e1b90c752981b_4084","71007f8b45df3e0a6853be2ecfd5b6f2_7774"
"WP_003133648.1","","FUSC family protein","10","10","1","1","9235","","","","2039","2039","2039","bff5be9a05af26abf8b302cd0b3f69e2_7742","f1bc4d4512a19bd29d7991c343d79c7a_1739","f57ec7ca82cfc8a0008cea8c3cc6a6e4_2162","e1e193540533662714034fbaf73f5d6e_8394","fbf66bbada04254cb1d7db6bed85cec5_9690","8fa835bf467b60db460d3f086747dc57_8462","d1676fa9fd9af43d40bcc74e7f0aec45_8440","9a62a93745f59da1e1aa95775073ed22_11826","252ccf95a1f36013216e1b90c752981b_2626","71007f8b45df3e0a6853be2ecfd5b6f2_9329"
"maf","","septum formation inhibitor Maf","10","10","1","1","3929","","","","605","605","605","bff5be9a05af26abf8b302cd0b3f69e2_9456","f1bc4d4512a19bd29d7991c343d79c7a_3305","f57ec7ca82cfc8a0008cea8c3cc6a6e4_214","e1e193540533662714034fbaf73f5d6e_10333","fbf66bbada04254cb1d7db6bed85cec5_11327","8fa835bf467b60db460d3f086747dc57_10600","d1676fa9fd9af43d40bcc74e7f0aec45_10402","9a62a93745f59da1e1aa95775073ed22_901","252ccf95a1f36013216e1b90c752981b_9633","71007f8b45df3e0a6853be2ecfd5b6f2_11124"
"WP_010793396.1","","peptidyl-prolyl cis-trans isomerase","10","10","1","1","2878","","","","818","818","818","bff5be9a05af26abf8b302cd0b3f69e2_2181","f1bc4d4512a19bd29d7991c343d79c7a_7865","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8298","e1e193540533662714034fbaf73f5d6e_2120","fbf66bbada04254cb1d7db6bed85cec5_3146","8fa835bf467b60db460d3f086747dc57_2299","d1676fa9fd9af43d40bcc74e7f0aec45_2307","9a62a93745f59da1e1aa95775073ed22_5678","252ccf95a1f36013216e1b90c752981b_8310","71007f8b45df3e0a6853be2ecfd5b6f2_2465"
"blaOXA","","OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-486","10","10","1","1","8593","","","","788","788","788","bff5be9a05af26abf8b302cd0b3f69e2_11680","f1bc4d4512a19bd29d7991c343d79c7a_5531","f57ec7ca82cfc8a0008cea8c3cc6a6e4_10704","e1e193540533662714034fbaf73f5d6e_12838","fbf66bbada04254cb1d7db6bed85cec5_637","8fa835bf467b60db460d3f086747dc57_12971","d1676fa9fd9af43d40bcc74e7f0aec45_12923","9a62a93745f59da1e1aa95775073ed22_3311","252ccf95a1f36013216e1b90c752981b_11901","71007f8b45df3e0a6853be2ecfd5b6f2_13683"
"WP_003102073.1","","pyridoxal phosphate-dependent aminotransferase","10","10","1","1","1321","","","","1181","1181","1181","bff5be9a05af26abf8b302cd0b3f69e2_10552","f1bc4d4512a19bd29d7991c343d79c7a_4322","f57ec7ca82cfc8a0008cea8c3cc6a6e4_11836","e1e193540533662714034fbaf73f5d6e_11701","fbf66bbada04254cb1d7db6bed85cec5_12741","8fa835bf467b60db460d3f086747dc57_11686","d1676fa9fd9af43d40bcc74e7f0aec45_11759","9a62a93745f59da1e1aa95775073ed22_2087","252ccf95a1f36013216e1b90c752981b_10758","71007f8b45df3e0a6853be2ecfd5b6f2_12538"
"WP_003083150.1","","LuxR family transcriptional regulator","10","10","1","1","8941","","","","806","806","806","bff5be9a05af26abf8b302cd0b3f69e2_7223","f1bc4d4512a19bd29d7991c343d79c7a_1203","f57ec7ca82cfc8a0008cea8c3cc6a6e4_2671","e1e193540533662714034fbaf73f5d6e_8069","fbf66bbada04254cb1d7db6bed85cec5_9173","8fa835bf467b60db460d3f086747dc57_7977","d1676fa9fd9af43d40bcc74e7f0aec45_7953","9a62a93745f59da1e1aa95775073ed22_11272","252ccf95a1f36013216e1b90c752981b_3153","71007f8b45df3e0a6853be2ecfd5b6f2_8802"
"WP_003123561.1","","TIGR00730 family Rossman fold protein","10","10","1","1","1376","","","","587","587","587","bff5be9a05af26abf8b302cd0b3f69e2_10439","f1bc4d4512a19bd29d7991c343d79c7a_4298","f57ec7ca82cfc8a0008cea8c3cc6a6e4_11949","e1e193540533662714034fbaf73f5d6e_11588","fbf66bbada04254cb1d7db6bed85cec5_12626","8fa835bf467b60db460d3f086747dc57_11569","d1676fa9fd9af43d40bcc74e7f0aec45_11642","9a62a93745f59da1e1aa95775073ed22_1972","252ccf95a1f36013216e1b90c752981b_10642","71007f8b45df3e0a6853be2ecfd5b6f2_12423"
"WP_003102818.1","","hypothetical protein","10","10","1","1","3071","","","","419","419","419","bff5be9a05af26abf8b302cd0b3f69e2_1827","f1bc4d4512a19bd29d7991c343d79c7a_7505","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8652","e1e193540533662714034fbaf73f5d6e_1766","fbf66bbada04254cb1d7db6bed85cec5_2784","8fa835bf467b60db460d3f086747dc57_1893","d1676fa9fd9af43d40bcc74e7f0aec45_1945","9a62a93745f59da1e1aa95775073ed22_5320","252ccf95a1f36013216e1b90c752981b_8675","71007f8b45df3e0a6853be2ecfd5b6f2_2063"
"WP_003146842.1","","GTP cyclohydrolase I FolE2","10","10","1","1","8619","","","","896","896","896","bff5be9a05af26abf8b302cd0b3f69e2_11732","f1bc4d4512a19bd29d7991c343d79c7a_5583","f57ec7ca82cfc8a0008cea8c3cc6a6e4_10654","e1e193540533662714034fbaf73f5d6e_12890","fbf66bbada04254cb1d7db6bed85cec5_687","8fa835bf467b60db460d3f086747dc57_13021","d1676fa9fd9af43d40bcc74e7f0aec45_12973","9a62a93745f59da1e1aa95775073ed22_3361","252ccf95a1f36013216e1b90c752981b_11952","71007f8b45df3e0a6853be2ecfd5b6f2_13733"
"WP_003084806.1","","hypothetical protein","10","10","1","1","5793","","","","293","293","293","bff5be9a05af26abf8b302cd0b3f69e2_995","f1bc4d4512a19bd29d7991c343d79c7a_6673","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9592","e1e193540533662714034fbaf73f5d6e_1016","fbf66bbada04254cb1d7db6bed85cec5_1783","8fa835bf467b60db460d3f086747dc57_1037","d1676fa9fd9af43d40bcc74e7f0aec45_1095","9a62a93745f59da1e1aa95775073ed22_4478","252ccf95a1f36013216e1b90c752981b_1023","71007f8b45df3e0a6853be2ecfd5b6f2_1117"
"WP_003102706.1","","hypothetical protein","10","10","1","1","3822","","","","383","983","743","bff5be9a05af26abf8b302cd0b3f69e2_6377","f1bc4d4512a19bd29d7991c343d79c7a_353","f57ec7ca82cfc8a0008cea8c3cc6a6e4_5174","e1e193540533662714034fbaf73f5d6e_6959","fbf66bbada04254cb1d7db6bed85cec5_8301","8fa835bf467b60db460d3f086747dc57_7015","d1676fa9fd9af43d40bcc74e7f0aec45_7081","9a62a93745f59da1e1aa95775073ed22_10310","252ccf95a1f36013216e1b90c752981b_4044","71007f8b45df3e0a6853be2ecfd5b6f2_7810"
"dut","","dUTP diphosphatase","10","10","1","1","6433","","","","455","455","455","bff5be9a05af26abf8b302cd0b3f69e2_11277","f1bc4d4512a19bd29d7991c343d79c7a_5128","f57ec7ca82cfc8a0008cea8c3cc6a6e4_11107","e1e193540533662714034fbaf73f5d6e_12435","fbf66bbada04254cb1d7db6bed85cec5_220","8fa835bf467b60db460d3f086747dc57_12552","d1676fa9fd9af43d40bcc74e7f0aec45_12506","9a62a93745f59da1e1aa95775073ed22_2800","252ccf95a1f36013216e1b90c752981b_11494","71007f8b45df3e0a6853be2ecfd5b6f2_13280"
"WP_003091297.1","","VWA domain-containing protein","10","10","1","1","9892","","","","1022","1022","1022","bff5be9a05af26abf8b302cd0b3f69e2_3858","f1bc4d4512a19bd29d7991c343d79c7a_9508","f57ec7ca82cfc8a0008cea8c3cc6a6e4_6510","e1e193540533662714034fbaf73f5d6e_3882","fbf66bbada04254cb1d7db6bed85cec5_4925","8fa835bf467b60db460d3f086747dc57_4108","d1676fa9fd9af43d40bcc74e7f0aec45_4095","9a62a93745f59da1e1aa95775073ed22_7357","252ccf95a1f36013216e1b90c752981b_6561","71007f8b45df3e0a6853be2ecfd5b6f2_4269"
"WP_003100947.1","","YqgE/AlgH family protein","10","10","1","1","7666","","","","569","569","569","bff5be9a05af26abf8b302cd0b3f69e2_824","f1bc4d4512a19bd29d7991c343d79c7a_6502","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9763","e1e193540533662714034fbaf73f5d6e_845","fbf66bbada04254cb1d7db6bed85cec5_1600","8fa835bf467b60db460d3f086747dc57_854","d1676fa9fd9af43d40bcc74e7f0aec45_914","9a62a93745f59da1e1aa95775073ed22_4309","252ccf95a1f36013216e1b90c752981b_846","71007f8b45df3e0a6853be2ecfd5b6f2_944"
"WP_003118717.1","","sulfite exporter TauE/SafE family protein","10","10","1","1","7794","","","","752","752","752","bff5be9a05af26abf8b302cd0b3f69e2_560","f1bc4d4512a19bd29d7991c343d79c7a_6238","f57ec7ca82cfc8a0008cea8c3cc6a6e4_10025","e1e193540533662714034fbaf73f5d6e_581","fbf66bbada04254cb1d7db6bed85cec5_1332","8fa835bf467b60db460d3f086747dc57_588","d1676fa9fd9af43d40bcc74e7f0aec45_646","9a62a93745f59da1e1aa95775073ed22_4043","252ccf95a1f36013216e1b90c752981b_583","71007f8b45df3e0a6853be2ecfd5b6f2_678"
"WP_003129156.1","","ferric reductase-like transmembrane domain-containing protein","10","10","1","1","5852","","","","1304","1304","1304","bff5be9a05af26abf8b302cd0b3f69e2_1107","f1bc4d4512a19bd29d7991c343d79c7a_6785","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9482","e1e193540533662714034fbaf73f5d6e_1128","fbf66bbada04254cb1d7db6bed85cec5_1897","8fa835bf467b60db460d3f086747dc57_1151","d1676fa9fd9af43d40bcc74e7f0aec45_1211","9a62a93745f59da1e1aa95775073ed22_4586","252ccf95a1f36013216e1b90c752981b_1138","71007f8b45df3e0a6853be2ecfd5b6f2_1225"
"WP_003114645.1","","PilZ domain-containing protein","10","10","1","1","7108","","","","266","266","266","bff5be9a05af26abf8b302cd0b3f69e2_25","f1bc4d4512a19bd29d7991c343d79c7a_5683","f57ec7ca82cfc8a0008cea8c3cc6a6e4_10568","e1e193540533662714034fbaf73f5d6e_32","fbf66bbada04254cb1d7db6bed85cec5_777","8fa835bf467b60db460d3f086747dc57_25","d1676fa9fd9af43d40bcc74e7f0aec45_25","9a62a93745f59da1e1aa95775073ed22_3476","252ccf95a1f36013216e1b90c752981b_25","71007f8b45df3e0a6853be2ecfd5b6f2_25"
"WP_003086021.1","","META domain-containing protein","10","10","1","1","4644","","","","407","407","407","bff5be9a05af26abf8b302cd0b3f69e2_8402","f1bc4d4512a19bd29d7991c343d79c7a_2369","f57ec7ca82cfc8a0008cea8c3cc6a6e4_1308","e1e193540533662714034fbaf73f5d6e_9025","fbf66bbada04254cb1d7db6bed85cec5_10348","8fa835bf467b60db460d3f086747dc57_9353","d1676fa9fd9af43d40bcc74e7f0aec45_9152","9a62a93745f59da1e1aa95775073ed22_12513","252ccf95a1f36013216e1b90c752981b_1969","71007f8b45df3e0a6853be2ecfd5b6f2_10087"
"WP_003085479.1","","DUF1145 domain-containing protein","10","10","1","1","6310","","","","245","245","245","bff5be9a05af26abf8b302cd0b3f69e2_8801","f1bc4d4512a19bd29d7991c343d79c7a_2768","f57ec7ca82cfc8a0008cea8c3cc6a6e4_779","e1e193540533662714034fbaf73f5d6e_9504","fbf66bbada04254cb1d7db6bed85cec5_10755","8fa835bf467b60db460d3f086747dc57_9756","d1676fa9fd9af43d40bcc74e7f0aec45_9677","9a62a93745f59da1e1aa95775073ed22_268","252ccf95a1f36013216e1b90c752981b_1560","71007f8b45df3e0a6853be2ecfd5b6f2_10539"
"WP_003098203.1","","GGDEF domain-containing protein","10","10","1","1","3697","","","","1205","1205","1205","bff5be9a05af26abf8b302cd0b3f69e2_6455","f1bc4d4512a19bd29d7991c343d79c7a_433","f57ec7ca82cfc8a0008cea8c3cc6a6e4_5252","e1e193540533662714034fbaf73f5d6e_7037","fbf66bbada04254cb1d7db6bed85cec5_8379","8fa835bf467b60db460d3f086747dc57_7093","d1676fa9fd9af43d40bcc74e7f0aec45_7159","9a62a93745f59da1e1aa95775073ed22_10494","252ccf95a1f36013216e1b90c752981b_3962","71007f8b45df3e0a6853be2ecfd5b6f2_7890"
"WP_003099113.1","","DedA family protein","10","10","1","1","8735","","","","443","443","443","bff5be9a05af26abf8b302cd0b3f69e2_4554","f1bc4d4512a19bd29d7991c343d79c7a_10208","f57ec7ca82cfc8a0008cea8c3cc6a6e4_5830","e1e193540533662714034fbaf73f5d6e_4566","fbf66bbada04254cb1d7db6bed85cec5_5729","8fa835bf467b60db460d3f086747dc57_4820","d1676fa9fd9af43d40bcc74e7f0aec45_4809","9a62a93745f59da1e1aa95775073ed22_8256","252ccf95a1f36013216e1b90c752981b_5859","71007f8b45df3e0a6853be2ecfd5b6f2_5128"
"ndhC","","NADH-quinone oxidoreductase subunit A","10","10","1","1","3828","","","","398","398","398","bff5be9a05af26abf8b302cd0b3f69e2_6389","f1bc4d4512a19bd29d7991c343d79c7a_367","f57ec7ca82cfc8a0008cea8c3cc6a6e4_5186","e1e193540533662714034fbaf73f5d6e_6971","fbf66bbada04254cb1d7db6bed85cec5_8313","8fa835bf467b60db460d3f086747dc57_7027","d1676fa9fd9af43d40bcc74e7f0aec45_7093","9a62a93745f59da1e1aa95775073ed22_10322","252ccf95a1f36013216e1b90c752981b_4032","71007f8b45df3e0a6853be2ecfd5b6f2_7822"
"pscF","","type III secretion system needle filament protein PscF","10","10","1","1","615","","","","257","257","257","bff5be9a05af26abf8b302cd0b3f69e2_6738","f1bc4d4512a19bd29d7991c343d79c7a_716","f57ec7ca82cfc8a0008cea8c3cc6a6e4_3156","e1e193540533662714034fbaf73f5d6e_7320","fbf66bbada04254cb1d7db6bed85cec5_8678","8fa835bf467b60db460d3f086747dc57_7392","d1676fa9fd9af43d40bcc74e7f0aec45_7458","9a62a93745f59da1e1aa95775073ed22_10777","252ccf95a1f36013216e1b90c752981b_3658","71007f8b45df3e0a6853be2ecfd5b6f2_8303"
"WP_003094962.1","","hypothetical protein","10","10","1","1","5015","","","","485","485","485","bff5be9a05af26abf8b302cd0b3f69e2_9815","f1bc4d4512a19bd29d7991c343d79c7a_3664","f57ec7ca82cfc8a0008cea8c3cc6a6e4_12549","e1e193540533662714034fbaf73f5d6e_10942","fbf66bbada04254cb1d7db6bed85cec5_11952","8fa835bf467b60db460d3f086747dc57_10963","d1676fa9fd9af43d40bcc74e7f0aec45_10998","9a62a93745f59da1e1aa95775073ed22_1302","252ccf95a1f36013216e1b90c752981b_10000","71007f8b45df3e0a6853be2ecfd5b6f2_11787"
"WP_003105190.1","","glycerophosphodiester phosphodiesterase","10","10","1","1","10015","","","","722","722","722","bff5be9a05af26abf8b302cd0b3f69e2_4021","f1bc4d4512a19bd29d7991c343d79c7a_9677","f57ec7ca82cfc8a0008cea8c3cc6a6e4_6341","e1e193540533662714034fbaf73f5d6e_4051","fbf66bbada04254cb1d7db6bed85cec5_5190","8fa835bf467b60db460d3f086747dc57_4283","d1676fa9fd9af43d40bcc74e7f0aec45_4270","9a62a93745f59da1e1aa95775073ed22_7526","252ccf95a1f36013216e1b90c752981b_6379","71007f8b45df3e0a6853be2ecfd5b6f2_4528"
"WP_003096230.1","","acyl-CoA thioesterase","10","10","1","1","6573","","","","443","443","443","bff5be9a05af26abf8b302cd0b3f69e2_10996","f1bc4d4512a19bd29d7991c343d79c7a_4849","f57ec7ca82cfc8a0008cea8c3cc6a6e4_11388","e1e193540533662714034fbaf73f5d6e_12156","fbf66bbada04254cb1d7db6bed85cec5_13201","8fa835bf467b60db460d3f086747dc57_12265","d1676fa9fd9af43d40bcc74e7f0aec45_12221","9a62a93745f59da1e1aa95775073ed22_2521","252ccf95a1f36013216e1b90c752981b_11205","71007f8b45df3e0a6853be2ecfd5b6f2_12999"
"WP_003089862.1","","hypothetical protein","10","10","1","1","4123","","","","218","218","218","bff5be9a05af26abf8b302cd0b3f69e2_5083","f1bc4d4512a19bd29d7991c343d79c7a_10798","f57ec7ca82cfc8a0008cea8c3cc6a6e4_3758","e1e193540533662714034fbaf73f5d6e_5512","fbf66bbada04254cb1d7db6bed85cec5_6643","8fa835bf467b60db460d3f086747dc57_5687","d1676fa9fd9af43d40bcc74e7f0aec45_5775","9a62a93745f59da1e1aa95775073ed22_8871","252ccf95a1f36013216e1b90c752981b_5337","71007f8b45df3e0a6853be2ecfd5b6f2_6186"
"WP_003092664.1","","CoA pyrophosphatase","10","10","1","1","2700","","","","611","611","611","bff5be9a05af26abf8b302cd0b3f69e2_2442","f1bc4d4512a19bd29d7991c343d79c7a_8124","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8025","e1e193540533662714034fbaf73f5d6e_2373","fbf66bbada04254cb1d7db6bed85cec5_3403","8fa835bf467b60db460d3f086747dc57_2583","d1676fa9fd9af43d40bcc74e7f0aec45_2674","9a62a93745f59da1e1aa95775073ed22_5919","252ccf95a1f36013216e1b90c752981b_8058","71007f8b45df3e0a6853be2ecfd5b6f2_2710"
"WP_003112793.1","","class I SAM-dependent methyltransferase","10","10","1","1","5044","","","","1124","1124","1124","bff5be9a05af26abf8b302cd0b3f69e2_9757","f1bc4d4512a19bd29d7991c343d79c7a_3606","f57ec7ca82cfc8a0008cea8c3cc6a6e4_12607","e1e193540533662714034fbaf73f5d6e_10884","fbf66bbada04254cb1d7db6bed85cec5_11892","8fa835bf467b60db460d3f086747dc57_10903","d1676fa9fd9af43d40bcc74e7f0aec45_10938","9a62a93745f59da1e1aa95775073ed22_1244","252ccf95a1f36013216e1b90c752981b_9941","71007f8b45df3e0a6853be2ecfd5b6f2_11729"
"WP_003099990.1","","methyl-accepting chemotaxis protein","10","10","1","1","1384","","","","1625","1625","1625","bff5be9a05af26abf8b302cd0b3f69e2_10423","f1bc4d4512a19bd29d7991c343d79c7a_4282","f57ec7ca82cfc8a0008cea8c3cc6a6e4_11965","e1e193540533662714034fbaf73f5d6e_11572","fbf66bbada04254cb1d7db6bed85cec5_12610","8fa835bf467b60db460d3f086747dc57_11553","d1676fa9fd9af43d40bcc74e7f0aec45_11626","9a62a93745f59da1e1aa95775073ed22_1956","252ccf95a1f36013216e1b90c752981b_10626","71007f8b45df3e0a6853be2ecfd5b6f2_12407"
"WP_009875978.1","","hypothetical protein","10","10","1","1","8038","","","","209","209","209","bff5be9a05af26abf8b302cd0b3f69e2_8695","f1bc4d4512a19bd29d7991c343d79c7a_2662","f57ec7ca82cfc8a0008cea8c3cc6a6e4_885","e1e193540533662714034fbaf73f5d6e_9398","fbf66bbada04254cb1d7db6bed85cec5_10649","8fa835bf467b60db460d3f086747dc57_9650","d1676fa9fd9af43d40bcc74e7f0aec45_9571","9a62a93745f59da1e1aa95775073ed22_162","252ccf95a1f36013216e1b90c752981b_1663","71007f8b45df3e0a6853be2ecfd5b6f2_10433"
"WP_003104987.1","","rhomboid family intramembrane serine protease","10","10","1","1","9877","","","","860","860","860","bff5be9a05af26abf8b302cd0b3f69e2_3832","f1bc4d4512a19bd29d7991c343d79c7a_9482","f57ec7ca82cfc8a0008cea8c3cc6a6e4_6536","e1e193540533662714034fbaf73f5d6e_3856","fbf66bbada04254cb1d7db6bed85cec5_4897","8fa835bf467b60db460d3f086747dc57_4080","d1676fa9fd9af43d40bcc74e7f0aec45_4067","9a62a93745f59da1e1aa95775073ed22_7329","252ccf95a1f36013216e1b90c752981b_6587","71007f8b45df3e0a6853be2ecfd5b6f2_4241"
"WP_003107935.1","","hypothetical protein","10","10","1","1","7465","","","","845","845","845","bff5be9a05af26abf8b302cd0b3f69e2_5967","f1bc4d4512a19bd29d7991c343d79c7a_11622","f57ec7ca82cfc8a0008cea8c3cc6a6e4_4756","e1e193540533662714034fbaf73f5d6e_6538","fbf66bbada04254cb1d7db6bed85cec5_7679","8fa835bf467b60db460d3f086747dc57_6593","d1676fa9fd9af43d40bcc74e7f0aec45_6653","9a62a93745f59da1e1aa95775073ed22_9786","252ccf95a1f36013216e1b90c752981b_4477","71007f8b45df3e0a6853be2ecfd5b6f2_7398"
"WP_003123056.1","","MFS transporter","10","10","1","1","6081","","","","1316","1316","1316","bff5be9a05af26abf8b302cd0b3f69e2_8966","f1bc4d4512a19bd29d7991c343d79c7a_2815","f57ec7ca82cfc8a0008cea8c3cc6a6e4_704","e1e193540533662714034fbaf73f5d6e_9843","fbf66bbada04254cb1d7db6bed85cec5_10833","8fa835bf467b60db460d3f086747dc57_10106","d1676fa9fd9af43d40bcc74e7f0aec45_9906","9a62a93745f59da1e1aa95775073ed22_413","252ccf95a1f36013216e1b90c752981b_1484","71007f8b45df3e0a6853be2ecfd5b6f2_10636"
